Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	O-VALUE	E-VALUE	OE-RATIO	CONSTRAINT
sd	3.6008E-06	0.001004322	0.003585263	*sd
Nm	0.00071367	0.000980691	0.727721288	*Nm
ha	0.003441603	0.000975451	3.528218862	Contig-ha
ʧa	0.0003824	0.000970343	0.394087798	*ʧa
NN	1.58433E-05	0.000969569	0.016340589	*NN
ye	7.202E-07	0.000949836	0.000758185	*ye
tU	6.4814E-06	0.000941298	0.006885558	*tU
nʲe	7.202E-07	0.000939448	0.000766569	*nʲe
wi	7.2015E-06	0.000936174	0.007692494	*wi
tI	0.000014403	0.000926246	0.015549889	*tI
Nd	0.006105443	0.000926022	6.593196972	Contig-Nd
ʃu	0.000399684	0.00092024	0.434325862	*ʃu
ca	4.3209E-06	0.000898929	0.004806731	*ca
ʤo	0.000373759	0.000889149	0.420355562	*ʤo
ʃn	1.08023E-05	0.000879144	0.012287254	*ʃn
ty	2.16045E-05	0.000866082	0.024945132	*ty
bo	0.000782084	0.000839196	0.931944364	--
kU	0.003407756	0.000838883	4.062255905	Contig-kU
we	1.15224E-05	0.000834759	0.013803293	*we
kI	7.202E-07	0.000825469	0.000872415	*kI
rʃ	7.202E-07	0.000825352	0.000872539	*rʃ
ʃr	1.08023E-05	0.000825352	0.013088079	*ʃr
ʃ#	2.1605E-06	0.000806856	0.002677622	*ʃ#
nö	0.000367277	0.000797208	0.460704381	*nö
kʲi	0.006167376	0.000793657	7.770829994	Contig-kʲi
gu	0.001297713	0.000783155	1.657031247	Contig-gu
ho	0.002012823	0.00077991	2.580839742	Contig-ho
ʧo	0.000602767	0.000775826	0.776934959	--
ky	2.1605E-06	0.000771851	0.002799057	*ky
knʲ	1.4403E-06	0.000763409	0.001886672	*knʲ
kQ	3.6008E-06	0.000762176	0.004724314	*kQ
sʃ	5.7612E-06	0.000757522	0.007605342	*sʃ
ʃs	1.15224E-05	0.000757522	0.015210685	*ʃs
rö	0.00014187	0.000748429	0.189556843	*rö
co	5.7612E-06	0.000718728	0.008015845	*co
mʃ	1.22426E-05	0.000706475	0.017329091	*mʃ
ʃm	8.35376E-05	0.000706475	0.118245561	*ʃm
gr	7.202E-07	0.000702402	0.001025269	*gr
Nʃ	0.001525281	0.000698463	2.183767585	Contig-Nʃ
ʃN	2.1605E-06	0.000698463	0.003093155	*ʃN
sö	0.001434542	0.00068692	2.088366407	Contig-sö
kw	8.6418E-06	0.000678337	0.012739701	*kw
wk	1.4403E-06	0.000678337	0.002123284	*wk
dʃ	1.4403E-06	0.000667092	0.002159077	*dʃ
ʃd	5.0411E-06	0.000667092	0.007556768	*ʃd
ʤi	0.004322348	0.00064864	6.663706805	Contig-ʤi
kʲt	0.000101541	0.00064528	0.157360156	*kʲt
tkʲ	1.4403E-06	0.00064528	0.002232059	*tkʲ
sg	3.74479E-05	0.000644676	0.058087853	*sg
mö	0.000867782	0.000640632	1.354573234	Contig-mö
Nö	2.88061E-05	0.000633366	0.045480899	*Nö
tü	1.15224E-05	0.000630574	0.018272906	*tü
bi	0.000766241	0.0006122	1.251619261	Contig-bi
dö	0.001266026	0.000604919	2.09288578	Contig-dö
nI	7.202E-07	0.000604433	0.00119145	*nI
Ng	0.002841717	0.000594416	4.780691776	Contig-Ng
yu	0.000822413	0.000591591	1.390170732	Contig-yu
nʲu	2.66456E-05	0.000585121	0.045538608	*nʲu
ʤe	7.27353E-05	0.000578373	0.12575835	*ʤe
rU	7.41756E-05	0.000576671	0.128627338	*rU
kʲk	0.00004753	0.000575072	0.082650508	*kʲk
kkʲ	2.1605E-06	0.000575072	0.003756841	*kkʲ
dg	7.202E-07	0.000567718	0.001268502	*dg
rI	3.74479E-05	0.000567449	0.065993336	*rI
ʧi	0.003630283	0.000565971	6.414256924	Contig-ʧi
kü	9.43398E-05	0.000561966	0.167874551	*kü
nQ	7.202E-07	0.000558088	0.001290391	*nQ
be	0.000948439	0.000545881	1.737448554	Contig-be
za	0.000710789	0.000541491	1.31265132	Contig-za
sU	0.008937798	0.000529278	16.88678434	Contig-sU
ʤt	3.6008E-06	0.000527374	0.006827706	*ʤt
ci	3.6008E-06	0.000524317	0.006867518	*ci
rQ	7.202E-07	0.00052394	0.001374492	*rQ
sI	1.4403E-06	0.000520814	0.002765482	*sI
he	0.000532912	0.000507316	1.050453816	--
ʧe	0.000009362	0.00050466	0.018551053	*ʧe
ʃʃ	5.7612E-06	0.000503162	0.01145001	*ʃʃ
bt	7.202E-07	0.000497747	0.001446823	*bt
tb	7.202E-07	0.000497747	0.001446823	*tb
nw	7.202E-07	0.000496699	0.001449875	*nw
mU	2.1605E-06	0.000493612	0.004376828	*mU
sy	1.65635E-05	0.000486985	0.034012296	*sy
mI	3.6008E-06	0.000485719	0.007413255	*mI
sQ	1.4403E-06	0.000480881	0.002995135	*sQ
ʤk	7.202E-07	0.000469995	0.001532254	*ʤk
ce	2.1605E-06	0.000467518	0.004621113	*ce
dU	7.202E-07	0.000466095	0.001545075	*dU
ht	7.202E-07	0.000462583	0.001556806	*ht
th	1.4403E-06	0.000462583	0.003113613	*th
ʧt	1.80038E-05	0.00046016	0.039125021	*ʧt
ʃö	0.001005331	0.000456267	2.2033825	Contig-ʃö
w#	7.202E-07	0.000455857	0.001579773	*w#
Ny	0.000313986	0.000449018	0.699272225	*Ny
mQ	7.202E-07	0.000448476	0.001605774	*mQ
ça	0.000263575	0.000447002	0.589651841	*ça
Nnʲ	0.001059343	0.000444107	2.385329897	Contig-Nnʲ
bk	7.202E-07	0.000443591	0.00162346	*bk
kb	1.4403E-06	0.000443591	0.003246919	*kb
NQ	4.3209E-06	0.00044339	0.009745168	*NQ
të	0.000906671	0.000442557	2.048710428	Contig-të
kʲu	1.15224E-05	0.000440769	0.026141659	*kʲu
zo	0.00056964	0.000432943	1.315738095	Contig-zo
gʃ	7.202E-07	0.000428208	0.00168178	*gʃ
ʃg	2.1605E-06	0.000428208	0.005045339	*ʃg
sw	2.1605E-06	0.000427985	0.005047971	*sw
ws	7.202E-07	0.000427985	0.001682657	*ws
ct	2.52053E-05	0.000426294	0.059126576	*ct
dQ	1.4403E-06	0.000423475	0.003401149	*dQ
kʲn	4.3209E-06	0.000421085	0.010261368	*kʲn
hk	1.4403E-06	0.000412253	0.003493739	*hk
kh	5.0411E-06	0.000412253	0.012228088	*kh
nü	2.8806E-06	0.000411489	0.007000451	*nü
kʧ	2.80859E-05	0.000410094	0.068486521	*kʧ
ʧk	3.74479E-05	0.000410094	0.091315361	*ʧk
Nw	0.000454416	0.000394618	1.151533751	--
kë	0.00133012	0.000394406	3.372466689	Contig-kë
gö	0.000415527	0.000388299	1.070122498	--
