Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	O-VALUE	E-VALUE	OE-RATIO	CONSTRAINT
zw	7.202E-07	5.41849E-05	0.013290639	*zw
mä	6.91345E-05	5.41174E-05	1.277490902	Contig-mä
tE	0.000365837	5.37625E-05	6.804684017	Contig-tE
Nä	2.8806E-06	5.35037E-05	0.053839396	*Nä
cë	7.202E-07	5.23009E-05	0.013769399	*cë
dä	4.82501E-05	5.11006E-05	0.944218703	--
fʃ	1.4403E-06	0.000050481	0.028531594	*fʃ
ʃf	7.202E-07	0.000050481	0.014265797	*ʃf
cc	4.3209E-06	5.03789E-05	0.085768158	*cc
çQ	5.7612E-06	0.000050258	0.114632811	*çQ
kE	6.26532E-05	0.000047913	1.307643709	Contig-kE
nA	0.00004753	0.000046966	1.012008961	--
gʲu	2.8806E-06	4.61479E-05	0.06242116	*gʲu
fö	1.80038E-05	4.57761E-05	0.39330062	*fö
zü	2.44851E-05	4.48892E-05	0.545456793	*zü
nO	1.08023E-05	4.45386E-05	0.242537002	*nO
rA	1.00821E-05	4.40923E-05	0.228659649	*rA
pU	7.48957E-05	4.31603E-05	1.735293405	Contig-pU
pI	1.51232E-05	4.24701E-05	0.356089818	*pI
rO	5.0411E-06	4.18134E-05	0.120560728	*rO
sA	2.44851E-05	4.04686E-05	0.605040629	*sA
pQ	1.4403E-06	3.92137E-05	0.036729564	*pQ
ʃä	5.7612E-06	3.85432E-05	0.149473982	*ʃä
sO	0.000153392	3.83771E-05	3.99697607	Contig-sO
çkʲ	2.8806E-06	3.79203E-05	0.075964695	*çkʲ
mA	0.000359356	3.77416E-05	9.521475313	Contig-mA
nʲï	3.09665E-05	0.000037603	0.823512324	--
NA	7.202E-07	3.73135E-05	0.0193	*NA
çü	1.29627E-05	3.70561E-05	0.349813277	*çü
mO	2.16045E-05	0.000035791	0.603630642	*mO
dA	2.95262E-05	3.56376E-05	0.828511937	--
NO	1.4403E-06	3.53851E-05	0.040703675	*NO
fU	0.00071511	3.52709E-05	20.27480507	Contig-fU
nE	1.87239E-05	3.50834E-05	0.533698478	*nE
Ngʲ	6.84144E-05	3.50263E-05	1.953229169	Contig-Ngʲ
fI	7.202E-07	3.47069E-05	0.020749523	*fI
dO	5.0411E-06	3.37958E-05	0.149162371	*dO
wï	2.1605E-06	3.34126E-05	0.064659812	*wï
rE	2.59254E-05	3.29367E-05	0.787129504	--
hz	7.202E-07	3.29303E-05	0.021868973	*hz
gä	4.82501E-05	3.28016E-05	1.470969352	Contig-gä
fy	7.202E-07	3.24525E-05	0.022190923	*fy
fQ	2.1605E-06	3.20457E-05	0.067417849	*fQ
zë	3.45673E-05	3.15047E-05	1.09721031	--
rʲu	2.08844E-05	0.000031494	0.663122351	*rʲu
çʤ	6.4814E-06	3.09915E-05	0.209133428	*çʤ
cz	5.0411E-06	0.000030347	0.166114108	*cz
sE	4.82501E-05	3.02298E-05	1.596109262	Contig-sE
kʲp	7.202E-07	2.95873E-05	0.024339891	*kʲp
pkʲ	7.202E-07	2.95873E-05	0.024339891	*pkʲ
pü	2.16045E-05	0.000028913	0.747225799	*pü
kʲï	0.00028518	2.83261E-05	10.06773941	Contig-kʲï
mE	1.4403E-06	2.81928E-05	0.051087646	*mE
çʧ	7.202E-07	2.70416E-05	0.026631199	*çʧ
ʃA	7.202E-07	2.68801E-05	0.026791235	*ʃA
dE	0.000359356	2.66211E-05	13.49887738	Contig-dE
ʃO	1.22426E-05	2.54909E-05	0.480272787	*ʃO
cç	7.202E-07	2.50515E-05	0.028746887	*cç
çc	0.000009362	2.50515E-05	0.373709534	*çc
yä	1.08023E-05	2.47781E-05	0.43595956	*yä
nʲä	2.1605E-06	2.45072E-05	0.088156064	*nʲä
fkʲ	7.202E-07	2.41789E-05	0.029784238	*fkʲ
kʲf	7.202E-07	2.41789E-05	0.029784238	*kʲf
Nrʲ	4.60897E-05	0.000023904	1.928117049	Contig-Nrʲ
fü	0.000386721	2.36279E-05	16.36713825	Contig-fü
ʤï	5.47315E-05	2.31504E-05	2.36417441	Contig-ʤï
gʲö	0.000280139	2.28807E-05	12.24343318	Contig-gʲö
gA	1.87239E-05	2.28759E-05	0.818501136	--
bï	0.000121706	2.18498E-05	5.570104528	Contig-bï
wä	0.000107303	2.17762E-05	4.927523888	Contig-wä
gO	5.0411E-06	2.16936E-05	0.232375481	*gO
ʧp	6.4814E-06	2.10992E-05	0.307185024	*ʧp
pë	8.20973E-05	2.02921E-05	4.045783687	Contig-pë
ʧï	0.000350714	2.01998E-05	17.36219566	Contig-ʧï
bʲa	2.23247E-05	1.99742E-05	1.117678392	--
cp	7.202E-07	1.95464E-05	0.036843226	*cp
pʲa	8.6418E-06	1.92445E-05	0.44905348	*pʲa
kʲä	7.2015E-06	1.84611E-05	0.390091125	*kʲä
gʲI	3.6008E-06	1.73479E-05	0.207561652	*gʲI
yA	4.3209E-06	1.72803E-05	0.250047959	*yA
fʧ	2.8806E-06	1.72424E-05	0.167064965	*fʧ
ʃrʲ	7.202E-07	1.72201E-05	0.041820465	*ʃrʲ
gE	1.4403E-06	1.70882E-05	0.084286521	*gE
fë	2.8806E-06	1.65828E-05	0.173710336	*fë
yO	5.7612E-06	1.63872E-05	0.35156722	*yO
cf	7.202E-07	1.59734E-05	0.045084318	*cf
fc	6.4814E-06	1.59734E-05	0.405758864	*fc
rʲö	0.000376639	1.56152E-05	24.12010132	Contig-rʲö
pʲo	2.8806E-06	1.53867E-05	0.187213667	*pʲo
wA	2.08844E-05	1.51867E-05	1.375173786	Contig-wA
ʤä	7.2015E-06	1.50879E-05	0.477304149	*ʤä
bä	0.000107303	1.42403E-05	7.535155143	Contig-bä
hä	0.000014403	1.32342E-05	1.08831594	--
ʧä	7.2015E-06	1.31649E-05	0.547022229	*ʧä
kʲA	2.8806E-06	1.28748E-05	0.223739765	*kʲA
kʲO	3.6008E-06	1.22094E-05	0.294916801	*kʲO
gʲü	3.6008E-06	1.18102E-05	0.304885985	*gʲü
zï	4.3209E-06	1.12723E-05	0.383319308	*zï
tʲu	7.92166E-05	1.06359E-05	7.448058135	Contig-tʲu
ʤA	7.202E-07	1.05223E-05	0.068440367	*ʤA
bA	1.4403E-06	9.9312E-06	0.145028396	*bA
fz	7.202E-07	0.000009622	0.074844373	*fz
çï	2.80859E-05	9.3053E-06	3.018258263	Contig-çï
hA	6.33733E-05	9.2296E-06	6.866331769	Contig-hA
ʧA	2.8806E-06	9.1812E-06	0.313748807	*ʧA
hO	1.29627E-05	8.7526E-06	1.481020057	Contig-hO
ʧO	3.09665E-05	8.7067E-06	3.55661512	Contig-ʧO
Ntʲ	2.52053E-05	8.0726E-06	3.122311072	Contig-Ntʲ
cO	7.202E-07	8.0659E-06	0.08928295	*cO
rʲü	7.92166E-05	0.00000806	9.828425887	Contig-rʲü
cgʲ	1.4403E-06	7.9842E-06	0.180394999	*cgʲ
ʤE	7.202E-07	7.8601E-06	0.091620893	*ʤE
bE	1.4403E-06	7.4185E-06	0.194149035	*bE
zä	6.48136E-05	7.3466E-06	8.82228826	Contig-zä
pï	0.000138989	7.2605E-06	19.14326094	Contig-pï
bʲu	7.202E-07	6.4702E-06	0.111303484	*bʲu
mʲa	1.72836E-05	6.2932E-06	2.746385053	Contig-mʲa
pʲu	2.1605E-06	6.2338E-06	0.346570564	*pʲu
fï	1.51232E-05	5.9333E-06	2.548858738	Contig-fï
zA	8.6418E-06	5.1235E-06	1.686697098	Contig-zA
Nbʲ	3.52874E-05	4.9109E-06	7.185592603	Contig-Nbʲ
zO	1.4403E-06	4.8587E-06	0.296436837	*zO
pä	0.00028446	4.7319E-06	60.11529676	Contig-pä
Npʲ	1.58433E-05	4.7315E-06	3.348504223	Contig-Npʲ
çA	1.4403E-06	4.2295E-06	0.340540049	*çA
tʲU	4.3209E-06	4.0632E-06	1.063423394	--
fä	4.3209E-06	3.8669E-06	1.117395742	--
zE	7.202E-07	3.8272E-06	0.188164654	*zE
pA	2.1605E-06	0.0000033	0.654675776	*pA
bʲö	0.000110183	0.000003208	34.34645822	Contig-bʲö
pʲö	0.000125306	3.0908E-06	40.54165154	Contig-pʲö
gʲï	2.01642E-05	2.9657E-06	6.799132357	Contig-gʲï
tʲü	0.000175717	2.7219E-06	64.55588099	Contig-tʲü
mʲu	1.15224E-05	2.0385E-06	5.652281272	Contig-mʲu
bʲü	2.44851E-05	1.6558E-06	14.7871095	Contig-bʲü
pʲü	1.29627E-05	1.5954E-06	8.125283754	Contig-pʲü
Nmʲ	0.000014403	1.5473E-06	9.308753505	Contig-Nmʲ
mʲö	1.94441E-05	1.0107E-06	19.23753031	Contig-mʲö
kÖ	7.202E-07	0.000000848	0.849216891	--
sÖ	1.22426E-05	0.000000535	22.8815365	Contig-sÖ
mʲü	1.4403E-06	5.217E-07	2.760764689	Contig-mʲü
sÜ	7.202E-07	3.648E-07	1.974093345	Contig-sÜ
ʃÜ	1.4403E-06	2.423E-07	5.944082017	Contig-ʃÜ
dʲu	3.6008E-06	2.068E-07	17.41104499	Contig-dʲu
va	7.202E-07	1.824E-07	3.947928513	Contig-va
kʲÖ	7.202E-07	1.702E-07	4.230715561	Contig-kʲÖ
yÜ	7.9217E-06	1.558E-07	50.8541983	Contig-yÜ
ʤÖ	1.4403E-06	1.391E-07	10.3531609	Contig-ʤÖ
bÖ	7.202E-07	1.313E-07	5.484710241	Contig-bÖ
ʃÏ	2.8806E-06	1.292E-07	22.29030756	Contig-ʃÏ
kÄ	1.4403E-06	1.156E-07	12.45518107	Contig-kÄ
vi	7.202E-07	1.064E-07	6.768625215	Contig-vi
kʷa	7.202E-07	9.12E-08	7.895857026	Contig-kʷa
ʧÜ	7.202E-07	8.28E-08	8.701300248	Contig-ʧÜ
dʲü	1.4403E-06	5.29E-08	27.21325194	Contig-dʲü
rË	7.202E-07	2.65E-08	27.17783258	Contig-rË
bÄ	7.202E-07	1.79E-08	40.22120843	Contig-bÄ
fʲü	7.202E-07	7.6E-09	95.24638178	Contig-fʲü
