Data generated for Whang 2021

Surprisal of phonological alternations observed in lexicon (transform "Target" to "Change") after "Context" (Shannon 1948; Durvasula & Kahng 2015).

Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

Context	Target	SequenceCount	Change	ChangeCount	ChangeSurprisal
g_	e	1964	a	1	10.93958
g_	ë	93	ë	93	0
g_	o	4622	o	4609	0.00406
g_	O	7	o	6	0.22239
g_	o	4622	ö	7	9.36695
g_	o	4622	a	2	11.1743
g_	o	4622	e	1	12.1743
g_	ö	573	ö	572	0.00252
g_	u	1772	u	1771	0.00081
g_	U	5	U	3	0.73697
g_	U	5	u	2	1.32193
g_	u	1772	U	1	10.79116
g_	ü	35	ü	35	0
h_	-	8	a	5	0.67807
h_	-	8	o	3	1.41504
h_	a	4753	a	4746	0.00213
h_	A	89	a	80	0.15381
h_	A	89	A	9	3.30581
h_	a	4753	A	5	9.89269
h_	a	4753	-	1	12.21462
h_	a	4753	o	1	12.21462
h_	ä	20	ä	15	0.41504
h_	e	733	e	733	0
h_	ë	207	ë	207	0
h_	O	16	o	16	0
h_	o	2763	o	2744	0.00996
h_	o	2763	ö	16	7.43202
h_	o	2763	a	1	11.43202
h_	o	2763	-	1	11.43202
h_	o	2763	O	1	11.43202
h_	ö	2028	ö	2027	0.00071
h_	ö	2028	o	1	10.98584
j_	-	3	a	1	1.58496
j_	a	3508	a	3508	0
j_	A	6	a	6	0
j_	ä	12	ä	8	0.58496
j_	O	8	o	8	0
j_	o	3606	o	3555	0.02055
j_	o	3606	ö	51	6.14376
j_	ö	4040	ö	4037	0.00107
j_	ö	4040	ü	3	10.39518
j_	U	2	ü	2	0
j_	u	823	ü	435	0.91988
j_	u	823	u	386	1.09229
j_	u	823	o	2	8.68475
j_	ü	7602	ü	7602	0
j_	Ü	11	ü	11	0
k_	-	560	U	300	0.90046
k_	-	560	u	189	1.56704
k_	-	560	a	34	4.04182
k_	-	560	o	23	4.60572
k_	-	560	e	7	6.32193
k_	-	560	ö	2	8.12928
k_	a	27069	a	27050	0.00101
k_	A	294	a	271	0.11752
k_	A	294	A	22	3.74024
k_	a	27069	A	8	11.72435
k_	a	27069	o	4	12.72435
k_	a	27069	ä	3	13.13939
k_	a	27069	-	2	13.72435
k_	a	27069	u	1	14.72435
k_	a	27069	e	1	14.72435
k_	ä	135	ä	93	0.53766
k_	ä	135	a	3	5.49185
k_	ä	135	u	3	5.49185
k_	e	7979	e	7963	0.0029
k_	E	87	e	84	0.05063
k_	E	87	E	3	4.85798
k_	e	7979	a	8	9.96199
k_	e	7979	ë	7	10.15464
k_	e	7979	E	1	12.96199
k_	ë	1846	ë	1641	0.16983
k_	o	15075	o	14931	0.01385
k_	O	301	o	287	0.06871
k_	O	301	O	9	5.06369
k_	O	301	ö	5	5.91169
k_	o	15075	ö	135	6.80305
k_	o	15075	O	5	11.55794
k_	o	15075	u	2	12.87987
k_	o	15075	a	2	12.87987
k_	Ö	1	ö	1	0
k_	ö	4345	ö	4322	0.00766
k_	ö	4345	o	3	10.50018
k_	ö	4345	ü	1	12.08514
k_	u	11389	u	10746	0.08384
k_	U	4568	U	2870	0.67051
k_	U	4568	u	1679	1.44396
k_	u	11389	U	616	4.20857
k_	U	4568	-	15	8.25046
k_	u	11389	-	15	9.56846
k_	u	11389	e	5	11.15343
k_	u	11389	a	3	11.89039
k_	U	4568	e	1	12.15735
k_	U	4568	o	1	12.15735
k_	U	4568	a	1	12.15735
k_	u	11389	ö	1	13.47535
k_	ü	131	ü	123	0.09091
k_	ü	131	u	4	5.03342
k_	ü	131	U	1	7.03342
k_	ü	131	ö	1	7.03342
kʲ_	-	335	I	189	0.82577
kʲ_	-	335	i	143	1.22815
kʲ_	-	335	a	1	8.38802
kʲ_	a	166	a	166	0
kʲ_	A	4	a	4	0
kʲ_	ä	10	ä	10	0
kʲ_	i	8602	i	8276	0.05574
kʲ_	I	2928	I	1827	0.68044
kʲ_	I	2928	i	1094	1.4203
kʲ_	i	8602	I	321	4.74403
kʲ_	I	2928	-	7	8.70834
kʲ_	i	8602	-	3	11.48549
kʲ_	i	8602	ï	2	12.07046
kʲ_	ï	396	ï	393	0.01097
kʲ_	ï	396	i	1	8.62936
kʲ_	o	407	o	402	0.01783
kʲ_	O	5	o	4	0.32193
kʲ_	o	407	ö	5	6.34696
kʲ_	ö	1188	ö	1188	0
kʲ_	Ö	1	ö	1	0
kʲ_	u	8	u	7	0.19265
kʲ_	u	8	ü	1	3
kʲ_	ü	887	ü	887	0
m_	-	79	a	71	0.15403
m_	-	79	o	2	5.30378
m_	-	79	i	2	5.30378
m_	-	79	u	2	5.30378
m_	a	17186	a	17181	0.00042
m_	A	492	a	488	0.01178
m_	A	492	A	2	7.94251
m_	a	17186	A	3	12.48398
m_	a	17186	o	1	14.06895
m_	a	17186	u	1	14.06895
m_	ä	96	ä	69	0.47644
m_	E	2	e	2	0
m_	e	2747	e	2736	0.00579
m_	e	2747	ë	8	8.42364
m_	e	2747	a	1	11.42364
m_	e	2747	E	1	11.42364
m_	ë	896	ë	894	0.00322
m_	ë	896	i	1	9.80735
m_	I	5	i	5	0
m_	i	4671	i	4670	0.00031
m_	i	4671	u	1	12.18952
m_	ï	15	ï	15	0
m_	o	14176	o	13953	0.02288
m_	O	18	o	16	0.16993
m_	O	18	ö	1	4.16993
m_	o	14176	ö	221	6.00326
m_	o	14176	u	1	13.79116
m_	o	14176	a	1	13.79116
m_	ö	1228	ö	1223	0.00589
m_	ö	1228	o	1	10.26209
m_	U	3	u	3	0
m_	u	1998	u	1988	0.00724
m_	u	1998	o	3	9.37938
m_	u	1998	-	3	9.37938
m_	u	1998	ö	1	10.96434
m_	u	1998	a	1	10.96434
m_	u	1998	i	1	10.96434
m_	ü	12	ü	12	0
n_	-	15	a	12	0.32193
N_	-	21	i	7	1.58496
n_	-	15	o	2	2.90689
n_	-	15	e	1	3.90689
n_	A	59	a	59	0
N_	a	18	a	18	0
n_	a	20731	a	20704	0.00188
n_	a	20731	o	25	9.69565
n_	a	20731	e	1	14.3395
n_	a	20731	A	1	14.3395
N_	ä	1	ä	1	0
n_	ä	39	ä	19	1.03747
n_	ä	39	o	7	2.47805
n_	E	26	e	26	0
n_	e	4402	e	4400	0.00066
N_	e	18	e	17	0.08246
N_	e	18	i	1	4.16993
n_	e	4402	o	1	12.10394
n_	e	4402	ë	1	12.10394
N_	ë	33	ë	33	0
n_	ë	75	ë	62	0.27462
n_	ë	75	e	8	3.22882
N_	i	238	i	238	0
n_	O	15	o	15	0
N_	o	27	o	27	0
n_	o	27893	o	27888	0.00026
n_	o	27893	a	4	12.76762
N_	ö	4	ö	4	0
n_	ö	506	ö	502	0.01145
n_	ö	506	o	3	7.39803
n_	u	572	u	564	0.02032
N_	u	4	u	3	0.41504
n_	u	572	o	7	6.35252
n_	u	572	a	1	9.15987
n_	ü	4	ü	3	0.41504
n_	ü	4	o	1	2
nʲ_	-	1	i	1	0
nʲ_	a	6	a	5	0.26303
nʲ_	a	6	i	1	2.58496
nʲ_	ä	2	i	2	0
nʲ_	I	16	i	16	0
nʲ_	i	18889	i	18886	0.00023
nʲ_	i	18889	ï	2	13.20526
nʲ_	i	18889	ü	1	14.20526
nʲ_	ï	43	ï	39	0.14086
nʲ_	ï	43	i	4	3.42626
nʲ_	o	3	i	2	0.58496
nʲ_	o	3	o	1	1.58496
nʲ_	ö	3	ö	3	0
nʲ_	u	29	i	19	0.61005
nʲ_	u	29	u	10	1.53605
nʲ_	ü	309	ü	308	0.00468
nʲ_	ü	309	i	1	8.27146
p_	-	10	u	5	1
p_	-	10	U	3	1.73697
p_	-	10	i	1	3.32193
p_	-	10	I	1	3.32193
p_	A	3	a	3	0
p_	a	1238	a	1237	0.00117
p_	a	1238	A	1	10.2738
p_	ä	399	ä	398	0.00362
p_	e	192	e	191	0.00753
p_	e	192	a	1	7.58496
p_	ë	114	ë	113	0.01271
p_	i	261	i	259	0.0111
p_	I	23	i	11	1.06413
p_	I	23	I	11	1.06413
p_	I	23	-	1	4.52356
p_	i	261	I	2	7.02791
p_	ï	196	ï	196	0
p_	o	214	o	212	0.01355
p_	o	214	a	1	7.74147
p_	o	214	ö	1	7.74147
p_	ö	251	ö	250	0.00576
p_	ö	251	o	1	7.97154
p_	u	799	u	789	0.01817
p_	U	109	U	57	0.93529
p_	U	109	u	51	1.09576
p_	u	799	U	10	6.32012
p_	U	109	-	1	6.76818
p_	ü	28	ü	28	0
Q_	u	1	u	1	0
r_	-	32	u	17	0.91254
r_	-	32	i	8	2
r_	-	32	a	3	3.41504
r_	-	32	o	1	5
r_	A	14	a	14	0
r_	a	10579	a	10573	0.00082
r_	a	10579	ä	3	11.78395
r_	a	10579	e	2	12.36892
r_	a	10579	A	1	13.36892
r_	ä	83	ä	72	0.20511
r_	ä	83	a	6	3.79008
r_	E	36	e	36	0
r_	e	11185	e	11178	0.0009
r_	e	11185	ë	4	11.44928
r_	e	11185	i	1	13.44928
r_	e	11185	-	1	13.44928
r_	e	11185	a	1	13.44928
r_	Ë	1	ë	1	0
r_	ë	850	ë	846	0.00681
r_	ë	850	e	1	9.73132
r_	i	10204	i	10180	0.0034
r_	I	52	i	51	0.02801
r_	i	10204	ï	12	9.73188
r_	i	10204	u	8	10.31685
r_	i	10204	e	4	11.31685
r_	ï	210	ï	197	0.09219
r_	ï	210	i	10	4.39232
r_	O	7	o	7	0
r_	o	4088	o	4085	0.00106
r_	o	4088	e	3	10.41222
r_	ö	200	ö	194	0.04394
r_	ö	200	o	1	7.64386
r_	u	13325	u	13307	0.00195
r_	U	103	u	102	0.01408
r_	U	103	U	1	6.6865
r_	u	13325	i	7	10.89449
r_	u	13325	e	3	12.11689
r_	u	13325	o	3	12.11689
r_	u	13325	a	3	12.11689
r_	u	13325	U	1	13.70185
r_	u	13325	ü	1	13.70185
r_	ü	135	ü	134	0.01073
r_	ü	135	u	1	7.07682
s_	-	1435	U	1330	0.10962
s_	-	1435	u	55	4.70548
s_	-	1435	o	21	6.09452
s_	-	1435	e	10	7.16491
s_	-	1435	ö	4	8.48684
s_	-	1435	a	2	9.48684
s_	a	7763	a	7760	0.00056
s_	A	29	a	25	0.21412
s_	A	29	A	3	3.27302
s_	a	7763	A	2	11.9224
s_	a	7763	ö	1	12.9224
s_	ä	100	ä	97	0.04394
s_	e	4057	e	4034	0.0082
s_	E	67	e	64	0.06609
s_	E	67	E	2	5.06609
s_	E	67	U	1	6.06609
s_	e	4057	ë	14	8.17884
s_	e	4057	a	3	10.40124
s_	e	4057	E	3	10.40124
s_	e	4057	ö	2	10.9862
s_	e	4057	U	1	11.9862
s_	ë	3531	ë	3501	0.01231
s_	ë	3531	ä	1	11.78586
s_	i	21	i	20	0.07039
s_	ï	11	ï	11	0
s_	o	7080	o	7007	0.01495
s_	O	213	o	186	0.19555
s_	O	213	O	11	4.27528
s_	O	213	ö	5	5.41278
s_	o	7080	ö	63	6.81225
s_	o	7080	O	7	9.98218
s_	o	7080	a	2	11.78953
s_	o	7080	U	1	12.78953
s_	Ö	17	ö	17	0
s_	ö	1990	ö	1985	0.00363
s_	ö	1990	e	1	10.95855
s_	U	12399	U	11767	0.07548
s_	u	7599	u	4486	0.76038
s_	u	7599	U	3100	1.29354
s_	U	12399	u	592	4.38848
s_	U	12399	-	15	9.69105
s_	u	7599	o	7	10.08424
s_	U	12399	e	6	11.01297
s_	U	12399	o	4	11.59794
s_	u	7599	-	2	11.89159
s_	u	7599	ö	1	12.89159
s_	u	7599	a	1	12.89159
s_	u	7599	ü	1	12.89159
s_	U	12399	ö	1	13.59794
s_	U	12399	E	1	13.59794
s_	ü	539	ü	527	0.03248
s_	ü	539	ö	1	9.07414
s_	ü	539	u	1	9.07414
ʃ_	-	1563	I	1383	0.17652
ʃ_	-	1563	i	141	3.47055
ʃ_	-	1563	U	26	5.90966
ʃ_	-	1563	u	6	8.02514
ʃ_	-	1563	a	2	9.6101
ʃ_	-	1563	ü	1	10.6101
ʃ_	a	1471	a	1471	0
ʃ_	A	1	a	1	0
ʃ_	ä	7	ä	6	0.22239
ʃ_	ä	7	a	1	2.80735
ʃ_	e	9	e	9	0
ʃ_	ë	2	ë	2	0
ʃ_	I	14286	I	12828	0.15531
ʃ_	i	7798	i	6497	0.26333
ʃ_	i	7798	I	1285	2.60134
ʃ_	I	14286	i	1389	3.36248
ʃ_	I	14286	U	39	8.51691
ʃ_	I	14286	-	24	9.21735
ʃ_	i	7798	-	5	10.60696
ʃ_	i	7798	ï	4	10.92889
ʃ_	i	7798	U	4	10.92889
ʃ_	i	7798	u	2	11.92889
ʃ_	I	14286	u	3	12.21735
ʃ_	I	14286	o	1	13.80231
ʃ_	I	14286	ï	1	13.80231
ʃ_	ï	710	ï	701	0.0184
ʃ_	Ï	4	ï	2	1
ʃ_	Ï	4	Ï	1	2
ʃ_	ï	710	i	7	6.66432
ʃ_	ï	710	Ï	1	9.47168
ʃ_	ï	710	I	1	9.47168
ʃ_	O	16	o	16	0
ʃ_	o	1713	o	1691	0.01865
ʃ_	o	1713	ö	19	6.49438
ʃ_	o	1713	a	2	9.74231
ʃ_	o	1713	O	1	10.74231
ʃ_	ö	1394	ö	1391	0.00311
ʃ_	ö	1394	ü	2	9.44501
ʃ_	ö	1394	o	1	10.44501
ʃ_	u	559	u	524	0.09328
ʃ_	U	296	U	201	0.5584
