Data generated for Whang 2021
Biphone O/E ratios and phonotactic constraints induced based on StaGe (Adriaans and Kager 2010)

Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	S1	S2	O-VALUE	E-VALUE	OE-RATIO	CONSTRAINT
bÖ	b	Ö	0.0000007202	0.0000001313	5.4847102410	Contig-bÖ
Öb	Ö	b	0.0000007202	0.0000001313	5.4847102410	Contig-Öb
ʃÏ	ʃ	Ï	0.0000028806	0.0000001292	22.2903075600	Contig-ʃÏ
kÄ	k	Ä	0.0000014403	0.0000001156	12.4551810700	Contig-kÄ
Ïg	Ï	g	0.0000007202	0.0000001100	6.5480090920	Contig-Ïg
vi	v	i	0.0000007202	0.0000001064	6.7686252150	Contig-vi
kʷa	kʷ	a	0.0000007202	0.0000000912	7.8958570260	Contig-kʷa
afʲ	a	fʲ	0.0000007202	0.0000000912	7.8958570260	Contig-afʲ
Üh	Ü	h	0.0000007202	0.0000000832	8.6557394420	Contig-Üh
Ïj	Ï	j	0.0000007202	0.0000000831	8.6683292550	Contig-Ïj
ʧÜ	ʧ	Ü	0.0000007202	0.0000000828	8.7013002480	Contig-ʧÜ
Är	Ä	r	0.0000007202	0.0000000795	9.0592775270	Contig-Är
Qdʲ	Q	dʲ	0.0000007202	0.0000000718	10.0324179400	Contig-Qdʲ
uv	u	v	0.0000007202	0.0000000591	12.1877314900	Contig-uv
dʲü	dʲ	ü	0.0000014403	0.0000000529	27.2132519400	Contig-dʲü
#v	#	v	0.0000007202	0.0000000518	13.9004264400	Contig-#v
Äʃ	Ä	ʃ	0.0000007202	0.0000000485	14.8602050400	Contig-Äʃ
Üʣ	Ü	ʣ	0.0000007202	0.0000000462	15.5925776200	Contig-Üʣ
ÄQ	Ä	Q	0.0000007202	0.0000000308	23.4089752000	Contig-ÄQ
rË	r	Ë	0.0000007202	0.0000000265	27.1778325800	Contig-rË
Ëd	Ë	d	0.0000007202	0.0000000214	33.6254600900	Contig-Ëd
bÄ	b	Ä	0.0000007202	0.0000000179	40.2212084300	Contig-bÄ
ädʲ	ä	dʲ	0.0000007202	0.0000000087	83.1395641200	Contig-ädʲ
fʲü	fʲ	ü	0.0000007202	0.0000000076	95.2463817800	Contig-fʲü
AÏ	A	Ï	0.0000007202	0.0000000069	104.3116737000	Contig-AÏ
ëkʷ	ë	kʷ	0.0000007202	0.0000000053	135.7112002000	Contig-ëkʷ
EÏ	E	Ï	0.0000007202	0.0000000052	139.6416935000	Contig-EÏ
