Data generated for Whang 2021
Biphone O/E ratios and phonotactic constraints induced based on StaGe (Adriaans and Kager 2010)

Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	S1	S2	O-VALUE	E-VALUE	OE-RATIO	CONSTRAINT
jO	j	O	0.0000057612	0.0000163872	0.3515672200	*jO
Onʲ	O	nʲ	0.0000028806	0.0000162080	0.1777273920	*Onʲ
OQ	O	Q	0.0000388882	0.0000161818	2.4032027770	Contig-OQ
Qgʲ	Q	gʲ	0.0000014403	0.0000160177	0.0899192390	*Qgʲ
fʦ	f	ʦ	0.0000064814	0.0000159734	0.4057588640	*fʦ
ʦf	ʦ	f	0.0000007202	0.0000159734	0.0450843180	*ʦf
obʲ	o	bʲ	0.0000230448	0.0000159701	1.4429984940	Contig-obʲ
rʲö	rʲ	ö	0.0003766390	0.0000156152	24.1201013200	Contig-rʲö
örʲ	ö	rʲ	0.0001483510	0.0000156152	9.5004605570	Contig-örʲ
pʲo	pʲ	o	0.0000028806	0.0000153867	0.1872136670	*pʲo
opʲ	o	pʲ	0.0000014403	0.0000153867	0.0936068340	*opʲ
wA	w	A	0.0000208844	0.0000151867	1.3751737860	Contig-wA
Aw	A	w	0.0000115224	0.0000151867	0.7587165720	--
äʤ	ä	ʤ	0.0000208844	0.0000150879	1.3841820320	Contig-äʤ
ʤä	ʤ	ä	0.0000072015	0.0000150879	0.4773041490	*ʤä
Ow	O	w	0.0000086418	0.0000144018	0.6000496080	*Ow
bä	b	ä	0.0001073030	0.0000142403	7.5351551430	Contig-bä
äb	ä	b	0.0000777763	0.0000142403	5.4617231910	Contig-äb
UE	U	E	0.0000007202	0.0000140293	0.0513317810	*UE
EI	E	I	0.0000136829	0.0000138050	0.9911528090	--
hä	h	ä	0.0000144030	0.0000132342	1.0883159400	--
äh	ä	h	0.0000100821	0.0000132342	0.7618211580	--
äʧ	ä	ʧ	0.0000331270	0.0000131649	2.5163022510	Contig-äʧ
ʧä	ʧ	ä	0.0000072015	0.0000131649	0.5470222290	*ʧä
Ej	E	j	0.0000828174	0.0000129083	6.4158189180	Contig-Ej
Akʲ	A	kʲ	0.0000093620	0.0000128748	0.7271542370	*Akʲ
kʲA	kʲ	A	0.0000028806	0.0000128748	0.2237397650	*kʲA
Enʲ	E	nʲ	0.0000014403	0.0000127671	0.1128132840	*Enʲ
EQ	E	Q	0.0000064814	0.0000127465	0.5084813600	*EQ
ëä	ë	ä	0.0000144030	0.0000126613	1.1375624490	--
äë	ä	ë	0.0000028806	0.0000126613	0.2275124900	*äë
kʲO	kʲ	O	0.0000036008	0.0000122094	0.2949168010	*kʲO
Okʲ	O	kʲ	0.0000036008	0.0000122094	0.2949168010	*Okʲ
äʦ	ä	ʦ	0.0000028806	0.0000121960	0.2361919440	*äʦ
Urʲ	U	rʲ	0.0000028806	0.0000120316	0.2394199010	*Urʲ
Irʲ	I	rʲ	0.0000021605	0.0000118392	0.1824829080	*Irʲ
ügʲ	ü	gʲ	0.0000122426	0.0000118102	1.0366123500	--
gʲü	gʲ	ü	0.0000036008	0.0000118102	0.3048859850	*gʲü
ibʲ	i	bʲ	0.0000136829	0.0000116503	1.1744646490	--
Ew	E	w	0.0000014403	0.0000113444	0.1269614220	*Ew
ïʣ	ï	ʣ	0.0000151232	0.0000112723	1.3416175770	Contig-ïʣ
ʣï	ʣ	ï	0.0000043209	0.0000112723	0.3833193080	*ʣï
tʲu	tʲ	u	0.0000792166	0.0000106359	7.4480581350	Contig-tʲu
utʲ	u	tʲ	0.0000036008	0.0000106359	0.3385480970	*utʲ
Aʤ	A	ʤ	0.0000043209	0.0000105223	0.4106421990	*Aʤ
ʤA	ʤ	A	0.0000007202	0.0000105223	0.0684403670	*ʤA
ebʲ	e	bʲ	0.0000216045	0.0000103882	2.0797118770	Contig-ebʲ
Oʤ	O	ʤ	0.0000007202	0.0000099785	0.0721703230	*Oʤ
Ab	A	b	0.0000057612	0.0000099312	0.5801135830	*Ab
bA	b	A	0.0000014403	0.0000099312	0.1450283960	*bA
fʣ	f	ʣ	0.0000007202	0.0000096220	0.0748443730	*fʣ
Ekʲ	E	kʲ	0.0000295262	0.0000096174	3.0700767790	Contig-Ekʲ
Ob	O	b	0.0000021605	0.0000094179	0.2293985270	*Ob
üE	ü	E	0.0000007202	0.0000093982	0.0766262120	*üE
#tʲ	#	tʲ	0.0000410486	0.0000093254	4.4018017070	Contig-#tʲ
çï	ç	ï	0.0000280859	0.0000093053	3.0182582630	Contig-çï
ïç	ï	ç	0.0000108023	0.0000093053	1.1608685630	--
hA	h	A	0.0000633733	0.0000092296	6.8663317690	Contig-hA
Ah	A	h	0.0000079217	0.0000092296	0.8582914710	--
Aʧ	A	ʧ	0.0000093620	0.0000091812	1.0196836230	--
ʧA	ʧ	A	0.0000028806	0.0000091812	0.3137488070	*ʧA
Aë	A	ë	0.0000007202	0.0000088300	0.0815572120	*Aë
hO	h	O	0.0000129627	0.0000087526	1.4810200570	Contig-hO
Oh	O	h	0.0000057612	0.0000087526	0.6582311360	*Oh
ʧO	ʧ	O	0.0000309665	0.0000087067	3.5566151200	Contig-ʧO
Oʧ	O	ʧ	0.0000079217	0.0000087067	0.9098317750	--
Aʦ	A	ʦ	0.0000072015	0.0000085055	0.8466856630	--
ëgʲ	ë	gʲ	0.0000525710	0.0000082888	6.3424568580	Contig-ëgʲ
Ntʲ	N	tʲ	0.0000252053	0.0000080726	3.1223110720	Contig-Ntʲ
Oʦ	O	ʦ	0.0000021605	0.0000080659	0.2678488490	*Oʦ
ʦO	ʦ	O	0.0000007202	0.0000080659	0.0892829500	*ʦO
rʲü	rʲ	ü	0.0000792166	0.0000080600	9.8284258870	Contig-rʲü
ürʲ	ü	rʲ	0.0000597726	0.0000080600	7.4159940790	Contig-ürʲ
ʦgʲ	ʦ	gʲ	0.0000014403	0.0000079842	0.1803949990	*ʦgʲ
Eʤ	E	ʤ	0.0000028806	0.0000078601	0.3664835720	*Eʤ
ʤE	ʤ	E	0.0000007202	0.0000078601	0.0916208930	*ʤE
Eb	E	b	0.0000014403	0.0000074185	0.1941490350	*Eb
bE	b	E	0.0000014403	0.0000074185	0.1941490350	*bE
ʣä	ʣ	ä	0.0000648136	0.0000073466	8.8222882600	Contig-ʣä
äʣ	ä	ʣ	0.0000129627	0.0000073466	1.7644576520	Contig-äʣ
